ItemID,Categoria,Subcategoria,Nome,Sinonimos,UsoPratico,Modalidade,Variaveis,FormulaTexto,FormulaLaTeX,CutoffsInterpretacao,TecnicaMedida,Limitacoes,NivelAdocao,FontePrimaria,LinkRadiopaedia,OutrasFontes,Status
VASC-0001,A - Vascular,A1 - Carótidas/Vertebrais,Resistive Index (RI),Pourcelot Index; IR,Avaliar resistência vascular em artérias. Aumentado em estenose.,US-Doppler,"PSV (m/s), EDV (m/s)",RI = (PSV - EDV) / PSV,RI = \frac{PSV - EDV}{PSV},Vitais: 0.55-0.70 normal; >0.70 aumentado. Periféricas: >0.70 normal.,Doppler pulsado ângulo <60° ROI centro do vaso evitar turbulência.,Dependente de ângulo; varia por território; afetado por complacência.,R,McNaughton D Abu-Yousef M. Doppler US of the Liver Made Simple. Radiographics. 2011;31(1):161-88.,https://radiopaedia.org/articles/resistive-index-vascular-ultrasound,Boote E. AAPM/RSNA Physics Tutorial. Radiographics. 2003;23(5):1315-27.,OK
VASC-0002,A - Vascular,A1 - Carótidas/Vertebrais,Pulsatility Index (PI),PI; IP,Medir pulsatilidade do fluxo arterial.,US-Doppler,"PSV (m/s), EDV (m/s), velocidade média (m/s)",PI = (PSV - EDV) / velocidade média,PI = \frac{PSV - EDV}{V_{mean}},Carótida normal: 1.0-2.0; >2.0 aumentado.,Doppler pulsado ângulo <60° medir proximal e distal.,Menos específico que RI; afetado por complacência e PA.,R,Boote E. AAPM/RSNA Physics Tutorial. Radiographics. 2003;23(5):1315-27.,https://radiopaedia.org/articles/pulsatility-index-ultrasound,Global Ultrasound Institute.,OK
VASC-0003,A - Vascular,A1 - Carótidas/Vertebrais,NASCET Criteria,North American Symptomatic Carotid Endarterectomy Trial,Classificar estenose carotídea. Determina conduta cirúrgica.,US-Doppler; CTA; MRA,"Diâmetro estenose (mm), diâmetro distal normal (mm)",% estenose = (1 - d_estenose / d_distal) × 100,\% \text{ estenose} = \left(1 - \frac{d_{estenose}}{d_{distal}}\right) \times 100,"0-29%: sem estenose; 30-69%: moderada; ≥70%: grave (indicação cirúrgica se sintomático).",Medir diâmetro mínimo estenose e distal normal. PSV >230 cm/s.,Baseado em angiografia; pode subestimar em oclusão; variação inter-observador.,R,North American Symptomatic Carotid Endarterectomy Trial. NEJM. 1991;325(7):445-453.,https://radiopaedia.org/articles/nascet-criteria,ECST criteria como alternativa.,OK
VASC-0004,A - Vascular,A3 - Artérias Renais,Renal Artery Stenosis Doppler Criteria,RAR; Renal-Aortic Ratio; PSV renal,Diagnosticar estenose de artéria renal por Doppler.,US-Doppler,"PSV renal (m/s), PSV aorta (m/s), RAR (razão)",RAR = PSV renal / PSV aorta,RAR = \frac{PSV_{renal}}{PSV_{aorta}},"PSV <180 cm/s: sem estenose; 180-200: borderline; >200: provável. RAR <3.5: sem; 3.5-4.0: borderline; >4.0: ≥60%.",Doppler pulsado ângulo <60° medir PSV proximal renal e aorta proximal.,Operador-dependente; pode falhar em rins profundos; afetado por débito cardíaco baixo.,R,Olin JW et al. United States Registry Fibromuscular Dysplasia. Circ Cardiovasc Interv. 2012;5(3):432-438.,https://radiopaedia.org/articles/renal-artery-stenosis,PSV >180 cm/s ou RAR >3.5 para estenose ≥60%.,OK
VASC-0005,A - Vascular,A2 - Aorta,AAA Growth Rate,Annual growth; growth rate,Monitorar crescimento de AAA para determinar follow-up e indicação cirúrgica.,TC; RM; US,"Diâmetro máximo atual (mm), diâmetro anterior (mm), intervalo tempo (anos)",Taxa (mm/ano) = (d_atual - d_anterior) / intervalo,\text{Taxa} = \frac{d_{atual} - d_{anterior}}{\Delta t},"<2.8 cm: sem follow-up; 2.8-3.9 cm: ~1.9 mm/ano; 4.0-4.5 cm: ~2.7 mm/ano; 4.5-5.5 cm: 3 meses; >5.5 cm: cirurgia.",Medir diâmetro máximo AP no eixo transversal evitar trombo mural.,Variabilidade inter-observador; diferenças técnicas; variação sazonal.,R,Lederle FA et al. Immediate repair vs surveillance small AAA. NEJM. 2002;346(19):1437-1444.,https://radiopaedia.org/articles/abdominal-aortic-aneurysm,ACC/AHA Guidelines 2022; AAFP guidelines.,OK
VASC-0006,A - Vascular,A2 - Aorta,Stanford Classification Aortic Dissection,Stanford Type A/B; aortic dissection classification,Classificar dissecção aórtica para determinar conduta cirúrgica.,TC; RM; TEE,Localização laceração intimal (qualitativa),Classificação baseada em localização anatômica,\text{Tipo} = \begin{cases} A & \text{envolve aorta ascendente} \\ B & \text{limitada descendente} \end{cases},"Type A: envolve ascendente (cirurgia urgente). Type B: descendente (manejo clínico).",TC com contraste (arterial + venoso); RM cine-sequências; identificar laceração e extensão.,Classificação anatômica; não prediz prognóstico isoladamente; dissecção intramural sem laceração visível.,R,Daily PO et al. Management of acute aortic dissections. Ann Thorac Surg. 1970;10(3):237-247.,https://radiopaedia.org/articles/stanford-classification-of-aortic-dissection-1,TEM classification (Type-Entry-Malperfusion).,OK
VASC-0007,A - Vascular,A4 - Veias,IVC Collapsibility Index,IVC collapse index; caval index,Estimar pressão venosa central. Colapsabilidade >50% sugere PVC baixa.,US-Doppler,"Diâmetro máximo VCI (mm), diâmetro mínimo VCI (mm)",CI (%) = (d_max - d_min) / d_max × 100,CI = \frac{d_{max} - d_{min}}{d_{max}} \times 100,">50%: PVC baixa (<5 mmHg); 25-50%: normal (5-10 mmHg); <25%: elevada (>10 mmHg).",Medir VCI 2 cm abaixo confluência hepática em transversal e longitudinal durante inspiração e expiração.,Afetado por posição; ventilação mecânica; arritmias; operador-dependente.,S,Brennan JM et al. Handcarried ultrasound IVC diameter. Am J Emerg Med. 2007;25(2):155-161.,https://radiopaedia.org/articles/inferior-vena-cava,Poelaert J Gupta A. Hemodynamic monitoring. Crit Care. 2016;20:239.,OK
VASC-0008,A - Vascular,A4 - Veias,Portal Vein Congestion Index,Congestion index; portal vein pulsatility,Avaliar congestão portal em hipertensão portal.,US-Doppler,"Velocidade máxima portal (cm/s), velocidade mínima portal (cm/s)",CI = (V_max - V_min) / V_max,CI = \frac{V_{max} - V_{min}}{V_{max}},<0.4: normal; 0.4-0.6: borderline; >0.6: congestão portal.,Doppler pulsado veia porta proximal ângulo <60° medir picos sistólico e diastólico.,Operador-dependente; afetado por ângulo; varia com respiração.,S,Bolondi L et al. Ultrasonographic study portal venous system. Gastroenterology. 1988;95(3):714-720.,https://radiopaedia.org/articles/portal-hypertension,Fluxo hepatopetal vs hepatofugal (qualitativo).,OK
VASC-0009,A - Vascular,A1 - Carótidas/Vertebrais,ECST Criteria,European Carotid Surgery Trial,Classificar estenose carotídea (método alternativo NASCET).,US-Doppler; CTA; MRA,"Diâmetro estenose (mm), diâmetro carotida proximal (mm)",% estenose ECST = (1 - d_estenose / d_proximal) × 100,\% = \left(1 - \frac{d_{estenose}}{d_{proximal}}\right) \times 100,"0-29%: sem; 30-69%: moderada; ≥70%: grave. Valores ECST ~10% maiores que NASCET.",Medir diâmetro mínimo estenose e proximal normal (CCA).,Baseado em angiografia; variação inter-observador; menos usado que NASCET.,R,European Carotid Surgery Trial. Lancet. 1991;337(8752):1235-1243.,https://radiopaedia.org/articles/ecst-criteria,NASCET como padrão ouro.,OK
VASC-0010,A - Vascular,A3 - Artérias Mesentéricas,Mesenteric Artery Stenosis Doppler,Mesenteric ischemia; celiac artery; SMA,Diagnosticar estenose de artérias mesentéricas por Doppler.,US-Doppler,"PSV artéria mesentérica (m/s), PSV aorta (m/s)",Critério: PSV >275 cm/s (SMA) ou >200 cm/s (celíaca),\text{PSV} > 275 \text{ cm/s (SMA) ou } > 200 \text{ cm/s (celíaca)},PSV SMA: <275 normal; 275-400 borderline; >400 estenose significativa. Celíaca: <200 normal; >200 sugestivo.,Doppler pulsado ângulo <60° medir PSV proximal SMA e celíaca. Jejum obrigatório.,Operador-dependente; afetado por gases intestinais; débito cardíaco baixo.,S,Moneta GL et al. Screening for asymptomatic superior mesenteric artery stenosis. J Vasc Surg. 1993;17(1):143-150.,https://radiopaedia.org/articles/mesenteric-artery-stenosis,Confirmação por CTA/MRA/angiografia.,OK
